,Drug1_ID,Drug2_ID,label
0,DB01166,DB08820,1
1,DB01403,DB06283,1
2,DB00834,DB09123,1
3,DB00072,DB01177,1
4,DB04825,DB09407,1
5,DB01182,DB01403,1
6,DB00569,DB01551,1
7,DB00595,DB09320,1
8,DB01609,DB09401,1
9,DB00313,DB00540,1
10,DB00264,DB00989,1
11,DB04946,DB09118,1
12,DB00220,DB00820,1
13,DB01268,DB01307,1
14,DB00081,DB00285,1
15,DB00564,DB09074,1
16,DB01268,DB01398,1
17,DB00022,DB01418,1
18,DB00897,DB01072,1
19,DB00682,DB00977,1
20,DB00065,DB06781,1
21,DB00582,DB00717,1
22,DB01203,DB08896,1
23,DB06290,DB09049,1
24,DB00540,DB00715,1
25,DB00497,DB00673,1
26,DB00479,DB09268,1
27,DB00363,DB00958,1
28,DB01038,DB01255,1
29,DB00196,DB00690,1
30,DB00387,DB00623,1
31,DB00999,DB08882,1
32,DB00476,DB01178,1
33,DB00477,DB01168,1
34,DB00904,DB09097,1
35,DB00196,DB00338,1
36,DB00280,DB01118,1
37,DB00390,DB00586,1
38,DB00268,DB00484,1
39,DB00470,DB01149,1
40,DB00508,DB09068,1
41,DB00250,DB00281,1
42,DB00397,DB09042,1
43,DB01136,DB09049,1
44,DB00540,DB00653,1
45,DB00395,DB00653,1
46,DB00418,DB01023,1
47,DB00492,DB01143,1
48,DB00021,DB00434,1
49,DB00900,DB01165,1
50,DB00232,DB00752,1
51,DB00679,DB01560,1
52,DB00816,DB01193,1
53,DB01327,DB09268,1
54,DB00224,DB00918,1
55,DB00414,DB08815,1
56,DB00642,DB01097,1
57,DB00273,DB00334,1
58,DB00091,DB00241,1
59,DB00073,DB00489,1
60,DB00391,DB00514,1
61,DB00474,DB00519,1
62,DB00956,DB00962,1
63,DB00196,DB00976,1
64,DB00455,DB04924,1
65,DB00246,DB08882,1
66,DB00780,DB01142,1
67,DB01320,DB09143,1
68,DB01263,DB06684,1
69,DB00215,DB01267,1
70,DB06692,DB09477,1
71,DB00514,DB00679,1
72,DB00679,DB00706,1
73,DB06216,DB08883,1
74,DB00401,DB00422,1
75,DB00176,DB00665,1
76,DB00321,DB00788,1
77,DB05521,DB09123,1
78,DB00211,DB00368,1
79,DB00960,DB08895,1
80,DB00237,DB01113,1
81,DB00930,DB01609,1
82,DB00880,DB00898,1
83,DB00418,DB01120,1
84,DB00280,DB00834,1
85,DB00393,DB00537,1
86,DB00541,DB09053,1
87,DB00169,DB00682,1
88,DB00648,DB00813,1
89,DB00315,DB00391,1
90,DB01167,DB08864,1
91,DB00983,DB01577,1
92,DB01020,DB01354,1
93,DB00042,DB00572,1
94,DB01095,DB02701,1
95,DB00367,DB01037,1
96,DB00227,DB00627,1
97,DB00277,DB00279,1
98,DB00013,DB00208,1
99,DB00503,DB06287,1
100,DB00918,DB06808,1
101,DB00193,DB00952,1
102,DB04946,DB06203,1
103,DB00861,DB03619,1
104,DB00264,DB01075,1
105,DB01201,DB08932,1
106,DB00610,DB01576,1
107,DB00691,DB01398,1
108,DB00193,DB01063,1
109,DB00803,DB00955,1
110,DB00250,DB00648,1
111,DB04868,DB05109,1
112,DB00470,DB00754,1
113,DB00454,DB00508,1
114,DB00206,DB01560,1
115,DB00500,DB00919,1
116,DB05521,DB08912,1
117,DB00370,DB06283,1
