,Drug_ID,Protein_ID,label
0,DB01445,P27338,1
1,DB00334,P50406,1
2,DB01074,P20813,1
3,DB03010,P04350,1
4,DB04879,P35916,1
5,DB00130,Q9UI32,1
6,DB08807,P07550,1
7,DB06846,P04035,1
8,DB07530,Q15788,1
9,DB00625,P08684,1
10,DB00240,P04150,1
11,DB00674,P30532,1
12,DB01830,P06239,1
13,DB06148,Q01959,1
14,DB00308,Q9Y257,1
15,DB00642,P00374,1
16,DB01418,P08684,1
17,DB05078,P24394,1
18,DB01431,P03372,1
19,DB00051,P12314,1
20,DB00363,P21728,1
21,DB00201,P51160,1
22,DB00129,P52569,1
23,DB00491,P10253,1
24,DB01041,P19838,1
25,DB00976,P08684,1
26,DB03345,P01009,1
27,DB01587,Q8N1C3,1
28,DB00590,P25100,1
29,DB01085,P05181,1
30,DB00095,P12314,1
31,DB01288,P08588,1
32,DB08815,P34969,1
33,DB01023,P62158,1
34,DB09078,P11362,1
35,DB06741,O60656,1
36,DB07374,P62917,1
37,DB09079,P12931,1
38,DB01186,P25100,1
39,DB08883,P20815,1
40,DB00862,P08684,1
41,DB00110,P08637,1
42,DB03326,P07998,1
43,DB02076,P06744,1
44,DB08629,P06576,1
45,DB07756,P22303,1
46,DB00636,P04798,1
47,DB00988,P21917,1
48,DB01184,P20813,1
49,DB00943,P11712,1
50,DB00711,P06276,1
51,DB01054,P08684,1
52,DB03554,Q12882,1
53,DB02546,Q92769,1
54,DB01128,P10635,1
55,DB01215,O14764,1
56,DB00782,P11229,1
57,DB00214,Q13621,1
58,DB00145,P23416,1
59,DB02052,P24941,1
60,DB00543,P35367,1
61,DB00818,P78334,1
62,DB00159,P23219,1
63,DB04451,O60911,1
64,DB04972,P09211,1
65,DB06896,P08581,1
66,DB03987,P00374,1
67,DB01151,P11229,1
68,DB03095,Q14376,1
69,DB03013,P15291,1
70,DB00484,P18089,1
71,DB01409,P08172,1
72,DB01588,P47869,1
73,DB01091,Q14534,1
74,DB07633,P16442,1
75,DB08231,Q08209,1
76,DB00758,P08684,1
77,DB04434,P36897,1
78,DB00014,P30968,1
79,DB03696,P48449,1
80,DB05507,P01584,1
81,DB01454,P28335,1
82,DB00622,P08912,1
83,DB01037,P10635,1
84,DB01819,P35558,1
85,DB09242,Q9Y2I1,1
86,DB07374,P62829,1
87,DB00025,P00740,1
88,DB01049,P18089,1
89,DB00231,P18505,1
90,DB00575,P25100,1
91,DB03397,Q9UBQ6,1
92,DB06603,Q8WUI4,1
93,DB01200,P28223,1
94,DB01136,P10635,1
95,DB00182,Q05940,1
96,DB04703,Q96GD4,1
97,DB02494,Q9UHA3,1
98,DB00111,P12318,1
99,DB06834,P43405,1
100,DB06077,P14416,1
101,DB08645,P00918,1
102,DB07527,P00734,1
103,DB02709,P35354,1
104,DB05879,P01375,1
105,DB00996,Q14957,1
106,DB04720,P68400,1
107,DB00643,Q71U36,1
108,DB04272,P12931,1
109,DB00908,P10635,1
110,DB00980,P49286,1
111,DB00292,P47869,1
112,DB08080,P68133,1
113,DB05007,P01133,1
114,DB01120,P11712,1
115,DB04858,P05181,1
116,DB00918,P28221,1
117,DB02277,Q16539,1
118,DB00705,P33261,1
119,DB07263,P18031,1
120,DB07009,Q15788,1
121,DB06738,O60656,1
122,DB01054,Q13698,1
123,DB01138,P08684,1
124,DB01231,P20309,1
125,DB07328,P27487,1
126,DB03175,P61626,1
