Drug_ID,Protein_ID,label
DB00773,P23219,1
DB01242,P23975,1
DB01238,P08173,1
DB00338,P10635,1
DB01244,P05023,1
DB01745,P07477,1
DB01996,P08254,1
DB04800,P18031,1
DB08352,Q16539,1
DB00163,P21266,1
DB06777,P08684,1
DB01151,P10635,1
DB00356,P08684,1
DB01589,P34903,1
DB01272,P20645,1
DB01151,P33261,1
DB01076,P04035,1
DB08515,P49721,1
DB02401,P07195,1
DB01057,P06276,1
DB03286,P11217,1
DB08814,Q9Y233,1
DB00945,P23219,1
DB01809,P07949,1
DB04058,P15085,1
DB00570,Q9UJT1,1
DB02805,P07998,1
DB01355,P43681,1
DB00734,P08913,1
DB01708,Q9UN88,1
DB03981,Q9Y663,1
DB07124,P17612,1
DB08137,P24941,1
DB00143,P10768,1
DB00188,P28070,1
DB01520,Q13224,1
DB08355,P24941,1
DB01252,P37231,1
DB01215,P18507,1
DB01221,P41145,1
DB00922,Q14432,1
DB00586,P04798,1
DB00243,P08684,1
DB00054,P12318,1
DB05238,P15056,1
DB04335,P00491,1
DB05030,P35968,1
DB00231,P18507,1
DB00162,P00352,1
DB00988,P33261,1
DB01223,P05177,1
DB00255,P11712,1
DB01247,P21397,1
DB00564,P10632,1
DB04551,P30613,1
DB02056,P42330,1
DB08424,Q16539,1
DB05387,P08253,1
DB04405,P39900,1
DB01698,P10632,1
DB07616,O60760,1
DB01011,P11509,1
DB01074,P10635,1
DB00939,O43526,1
DB01587,O14764,1
DB00201,Q07343,1
DB04444,P30085,1
DB03501,P15291,1
DB09068,P20815,1
DB00753,P62158,1
DB01381,P14867,1
DB01820,P18031,1
DB03461,Q16698,1
DB08914,P06213,1
DB00139,Q8WWT9,1
DB00139,O14521,1
DB01167,P20815,1
DB04389,P49789,1
DB00201,Q08493,1
DB05079,P35367,1
DB08095,Q16539,1
DB05157,Q15759,1
DB02250,P61626,1
DB00820,P08684,1
DB05280,P35462,1
DB03152,P08100,1
DB07428,P68871,1
DB01156,P11712,1
DB05390,P41231,1
DB00108,P02745,1
DB01424,P10632,1
DB04216,P06576,1
DB08385,O00519,1
DB06147,P11511,1
DB01095,P10635,1
DB00114,P34896,1
DB00439,P08684,1
DB05096,Q14832,1
DB06637,Q9UK17,1
DB01085,P08172,1
DB03179,Q86VU5,1
DB06678,P28335,1
DB03088,P15692,1
DB03757,Q9UNI1,1
DB00854,P35372,1
DB00338,P33261,1
DB08697,P00749,1
DB00458,P23975,1
DB00945,Q04828,1
DB00812,P35354,1
DB07934,P00734,1
DB00613,P10632,1
DB00934,P18089,1
DB06605,P11712,1
DB00169,P11473,1
DB00575,P18089,1
DB07347,P04406,1
DB06016,P08908,1
DB06866,P00734,1
DB05207,P14778,1
DB01403,P35462,1
DB06858,P07477,1
DB00174,O43776,1
DB00155,P29475,1
DB06695,P54855,1
DB06678,P28223,1
DB00289,Q12879,1
DB01324,P55017,1
DB06944,P24941,1
DB00114,Q9NVS9,1
DB00157,O75306,1
DB00655,P08684,1
DB00852,P07550,1
DB00143,Q03013,1
DB00594,P19801,1
DB07680,P23946,1
DB00157,O95182,1
DB07388,P29474,1
DB00670,P11229,1
DB01207,P21731,1
DB00126,P19021,1
DB00734,P35367,1
DB00824,Q07343,1
DB00683,P20815,1
DB00661,O00305,1
DB00268,P28221,1
DB01708,O75469,1
DB01049,P78334,1
DB00849,P34903,1
DB01018,P18089,1
DB00313,P10632,1
DB00200,Q9BXJ7,1
DB04820,P27338,1
DB01622,P35348,1
DB01483,P14867,1
DB07701,P22303,1
DB07080,O75469,1
DB00157,P04035,1
DB00889,P20815,1
DB09053,P08684,1
DB07427,P69905,1
DB00830,Q01959,1
DB01049,P46098,1
DB02264,P05230,1
DB00825,Q8NET8,1
DB01122,P22303,1
DB04836,P23975,1
DB06216,P18825,1
DB07621,P11509,1
DB00197,P54855,1
DB03101,P00491,1
DB01151,P18089,1
DB06616,P08684,1
DB06931,O95749,1
DB04234,P43235,1
DB01011,P15538,1
DB00075,P02747,1
DB00540,P28223,1
DB01424,P24462,1
DB05290,P25101,1
DB08354,P68400,1
DB04855,O95069,1
DB08515,P25789,1
DB07107,P17612,1
DB07765,P0CG22,1
DB00371,Q9UN88,1
DB07468,Q7Z406,1
DB00343,P10635,1
DB00675,Q05655,1
DB03329,P07858,1
DB02638,P47901,1
DB04920,Q13698,1
DB01198,P08684,1
DB00729,P20309,1
DB00952,P28222,1
DB09082,P08684,1
DB00153,Q02318,1
DB00767,P20309,1
DB02400,P15559,1
DB03206,Q9UKM7,1
DB04530,Q99418,1
DB00583,P23786,1
DB07987,P08254,1
DB00176,P31645,1
DB07375,P06310,1
DB00031,P02671,1
DB00195,P07550,1
DB02010,P48736,1
DB05107,P11413,1
DB04147,P01595,1
DB01171,P11712,1
DB00087,P02746,1
DB01142,P08684,1
DB02640,P50579,1
DB01039,P08684,1
DB02648,P43155,1
DB00025,P07307,1
DB00496,P11229,1
DB08690,O14957,1
DB04464,P15954,1
DB00945,Q9Y478,1
DB09078,P35916,1
DB00996,Q9NY47,1
DB04871,P28335,1
DB00558,Q9Y3R4,1
DB01196,P11137,1
DB00482,P35354,1
DB00169,Q02318,1
DB00624,P04798,1
DB05736,P43235,1
DB00961,Q9Y5Y9,1
DB04395,P78362,1
DB08896,P20813,1
DB03461,Q92506,1
DB00835,P20309,1
