Drug_ID,Protein_ID,label
DB02721,P00325,1
DB07138,Q16539,1
DB08136,P24941,1
DB01238,P08173,1
DB00186,P48169,1
DB00338,P10635,1
DB01151,P08913,1
DB01244,P05023,1
DB01996,P08254,1
DB08352,Q16539,1
DB00163,P21266,1
DB00197,P10632,1
DB06777,P08684,1
DB01151,P10635,1
DB00356,P08684,1
DB01272,P20645,1
DB08846,Q14534,1
DB01151,P33261,1
DB08515,P49721,1
DB02401,P07195,1
DB01057,P06276,1
DB08814,Q9Y233,1
DB00945,P23219,1
DB01352,Q16445,1
DB00185,P10635,1
DB01708,Q14957,1
DB00570,Q9UJT1,1
DB01355,P43681,1
DB01708,Q9UN88,1
DB03981,Q9Y663,1
DB07124,P17612,1
DB08137,P24941,1
DB00143,P10768,1
DB00102,P16234,1
DB00188,P28070,1
DB00533,P23219,1
DB01520,Q13224,1
DB08355,P24941,1
DB01252,P37231,1
DB01215,P18507,1
DB00922,Q14432,1
DB00586,P04798,1
DB00243,P08684,1
DB00054,P12318,1
DB05238,P15056,1
DB04335,P00491,1
DB05030,P35968,1
DB00231,P18507,1
DB00988,P33261,1
DB00373,P08588,1
DB00255,P11712,1
DB01247,P21397,1
DB00564,P10632,1
DB04551,P30613,1
DB02056,P42330,1
DB08424,Q16539,1
DB03865,P05981,1
DB04405,P39900,1
DB04322,P11586,1
DB01698,P10632,1
DB07616,O60760,1
DB01011,P11509,1
DB00005,P08637,1
DB01074,P10635,1
DB00939,O43526,1
DB00518,P04798,1
DB01587,O14764,1
DB00201,Q07343,1
DB04444,P30085,1
DB03501,P15291,1
DB09068,P20815,1
DB03103,P15531,1
DB00753,P62158,1
DB03461,Q16698,1
DB00116,P13995,1
DB00139,Q8WWT9,1
DB00114,Q6P996,1
DB01167,P20815,1
DB07034,O14757,1
DB04389,P49789,1
DB00201,Q08493,1
DB00515,P02795,1
DB05079,P35367,1
DB05157,Q15759,1
DB02250,P61626,1
DB05260,P31350,1
DB00820,P08684,1
DB05280,P35462,1
DB03152,P08100,1
