,Gene_ID,Disease_ID,label
0,7086,C0043121,1
1,93664,C0013170,1
2,25836,C3714756,1
3,9547,C0013222,1
4,143458,C0013222,1
5,183,C0017661,1
6,406902,C0205695,1
7,5328,C0007781,1
8,2512,C3810090,1
9,59352,C0006142,1
10,80184,C1855675,1
11,4683,C0033578,1
12,332,C1266043,1
13,207,C0236804,1
14,25821,C3553529,1
15,59341,C0524595,1
16,10019,C0038454,1
17,9227,C4279912,1
18,4851,C0334588,1
19,177,C0751373,1
20,4810,C4049005,1
21,10535,C3714756,1
22,10008,C4302111,1
23,54806,C4274118,1
24,25836,C0260662,1
25,144717,C0005586,1
26,4204,C0751456,1
27,122809,C0282313,1
28,595,C0007621,1
29,6811,C0006142,1
30,462,C0272945,1
31,5328,C0149871,1
32,286530,C0023453,1
33,8813,C0282577,1
34,8050,C0543888,1
35,3002,C0013182,1
36,3326,C0019693,1
37,4204,C0494475,1
38,6464,C0018800,1
39,1512,C0205734,1
40,3146,C0751213,1
41,2261,C0007138,1
42,1268,C2936719,1
43,2072,C0268140,1
44,6311,C0752124,1
45,701,C3853041,1
46,163786,C0431350,1
47,100616357,C3658290,1
48,54715,C0422850,1
49,2593,C0002514,1
50,1316,C0496905,1
51,7157,C2931038,1
52,57448,C0006826,1
53,2073,C0151779,1
54,5142,C0274861,1
55,2263,C0024623,1
56,57453,C1527249,1
57,7422,C0002395,1
58,92335,C0025149,1
59,6513,C0029408,1
60,7058,C0158252,1
61,1392,C0020649,1
62,3762,C0018794,1
63,7042,C0162872,1
64,5594,C0027626,1
65,9820,C2678312,1
66,4221,C0346647,1
67,435,C0006142,1
68,6820,C0860207,1
69,54719,C0036341,1
70,3108,C0011616,1
71,261734,C4277690,1
72,729230,C3658290,1
73,6580,C0020445,1
74,1832,C4014393,1
75,2170,C0036341,1
76,5927,C0025363,1
77,5443,C0027497,1
78,27306,C0033937,1
79,55034,C1863688,1
80,12,C0376358,1
81,4092,C0009402,1
82,240,C0027627,1
83,1650,C3281084,1
84,1789,C0033578,1
85,5816,C4048158,1
86,1280,C0432221,1
87,1053,C0023453,1
88,2353,C0022333,1
89,152518,C4277682,1
90,5697,C0002395,1
91,316,C0033578,1
92,3082,C0023903,1
93,55596,C0917816,1
94,5426,C0017185,1
95,866,C1262760,1
96,1356,C0520463,1
97,1435,C0029401,1
98,7253,C0749420,1
99,4089,C0039445,1
100,8863,C1858496,1
101,406886,C0011860,1
102,5728,C0334609,1
103,2643,C0277821,1
104,23095,C0154040,1
105,590,C0037315,1
106,2247,C0021368,1
107,10290,C0278701,1
108,3162,C0020538,1
109,2203,C0036341,1
110,11178,C0152018,1
111,7051,C0149504,1
112,261734,C1846979,1
113,6927,C0020615,1
114,79730,C0848676,1
115,3778,C0270823,1
116,3417,C0027643,1
117,2948,C0524851,1
118,2184,C0001126,1
119,3091,C0002793,1
120,8504,C1832200,1
121,10908,C0023138,1
122,7466,C3280358,1
123,814,C0236736,1
124,29968,C4015019,1
125,3630,C0035619,1
126,4852,C0270846,1
