,Protein1_ID,Protein2_ID,label
0,7584,80321,1
1,11100,23368,1
2,353140,440051,1
3,5682,80321,1
4,22806,284001,1
5,2801,9958,1
6,9586,440021,1
7,5626,83444,1
8,4223,283011,1
9,815,138046,1
10,9463,92667,1
11,64170,170082,1
12,8260,23608,1
13,5093,348093,1
14,5987,149371,1
15,6810,8417,1
16,5966,29119,1
17,9146,113878,1
18,79797,125115,1
19,126375,386681,1
20,9702,64753,1
21,4105,83937,1
22,3190,65005,1
23,7775,55663,1
24,1838,57511,1
25,1946,286451,1
26,3886,146705,1
27,5252,65986,1
28,7379,64581,1
29,7750,64395,1
30,2071,3839,1
31,7681,83541,1
32,64599,79637,1
33,665,64581,1
34,9929,386681,1
35,6303,58524,1
36,11060,51655,1
37,10529,342096,1
38,5626,11339,1
39,9810,27185,1
40,1027,23281,1
41,3846,84914,1
42,5129,9454,1
43,55663,55663,1
44,9051,285093,1
45,5626,65009,1
46,90060,147872,1
47,11180,23426,1
48,10612,23321,1
49,6605,57159,1
50,29979,83593,1
51,5660,10513,1
52,1857,7186,1
53,9119,23534,1
54,25959,84140,1
55,3839,7629,1
56,55080,375791,1
57,9363,84708,1
58,2801,55138,1
59,3856,3886,1
60,4223,337968,1
61,122183,158572,1
62,4188,80161,1
63,10928,23368,1
64,10733,63976,1
65,166,84619,1
66,7597,9779,1
67,51225,79843,1
68,5824,51561,1
69,4188,5383,1
70,51078,114569,1
71,254910,375791,1
72,142937,375791,1
73,221044,386682,1
74,10443,51645,1
75,3856,3875,1
76,8313,79005,1
77,5125,353323,1
78,4223,6138,1
79,348093,373863,1
80,54764,57559,1
81,7869,386676,1
82,51684,57333,1
83,117178,254187,1
84,3881,53358,1
85,5862,196472,1
86,202051,388677,1
87,3885,7633,1
88,7186,100129534,1
89,6839,11335,1
90,54550,85359,1
91,9618,27185,1
92,9798,29978,1
93,4656,23059,1
94,202243,254187,1
95,23149,23194,1
96,5565,83900,1
97,6449,6860,1
98,64927,83878,1
99,7186,84256,1
100,6737,55346,1
101,2885,3937,1
102,6810,9341,1
103,9530,9623,1
104,57159,81629,1
105,79959,128977,1
106,9319,115572,1
107,2051,5626,1
108,54557,124220,1
109,57659,80321,1
110,30850,63898,1
111,1379,80821,1
112,358,256646,1
113,8436,79156,1
114,126070,375791,1
115,5083,9319,1
116,122183,148398,1
117,6449,257202,1
118,9830,149371,1
119,3801,23368,1
120,3215,11077,1
121,26003,283685,1
122,5626,84661,1
123,29117,79666,1
124,3889,8687,1
125,3885,8559,1
126,5551,375791,1
127,11178,151194,1
128,55216,246329,1
129,5901,23039,1
130,10445,375791,1
131,4734,7159,1
132,54550,145483,1
133,54461,337968,1
134,55165,55696,1
135,6648,80321,1
136,4144,4144,1
137,2976,55697,1
138,23506,113878,1
139,79571,84080,1
140,5634,5635,1
141,509,4223,1
142,8030,51213,1
143,10241,84330,1
144,23283,29978,1
145,9802,54458,1
146,8241,116115,1
147,79720,84708,1
148,817,91875,1
149,165055,170082,1
150,89885,338761,1
151,9463,92170,1
152,9119,57159,1
153,3846,5565,1
154,10791,65983,1
155,1522,9457,1
156,6310,84970,1
157,11140,165055,1
158,5199,353323,1
159,64802,64802,1
160,4188,55138,1
161,10445,171482,1
162,11043,26121,1
163,513,386681,1
164,26153,161514,1
165,6938,150921,1
166,8697,283899,1
167,2801,6605,1
168,202299,388677,1
169,1408,3846,1
170,92595,353323,1
171,145282,254187,1
172,2274,84656,1
173,58986,81851,1
174,57594,144100,1
175,25828,114932,1
176,60468,79005,1
177,3797,4163,1
178,9463,9775,1
179,9240,57104,1
180,4188,4956,1
181,9135,9724,1
182,9146,11281,1
183,29107,157574,1
184,7702,132660,1
185,1822,337967,1
186,580,10320,1
187,158866,199675,1
188,51157,342574,1
189,84707,85294,1
190,6386,29106,1
191,64926,64926,1
192,3854,3886,1
193,4223,56704,1
194,9841,11043,1
195,4110,392360,1
196,7251,283234,1
197,85294,353137,1
198,147947,386676,1
199,57532,386675,1
200,85027,149111,1
201,4222,252969,1
202,4188,147807,1
203,353139,375791,1
204,1488,8942,1
205,3312,9530,1
206,55093,59349,1
207,7702,220929,1
208,4004,79618,1
209,1649,474344,1
210,27033,79839,1
211,6804,90407,1
212,26511,85294,1
213,9404,55885,1
214,3881,60370,1
215,147687,221504,1
216,23281,140836,1
217,64396,729428,1
218,373,9610,1
219,23294,83900,1
220,7004,440295,1
221,2686,112616,1
222,65009,114569,1
223,3856,342574,1
224,4223,353135,1
225,3433,256646,1
226,4223,118427,1
227,9119,115290,1
228,170082,440295,1
229,705,64753,1
230,3215,9618,1
231,5682,57159,1
232,4110,112464,1
233,4223,10947,1
234,9319,64411,1
235,386677,386681,1
236,3846,5031,1
237,5565,6938,1
238,5987,54793,1
239,202151,347240,1
240,5940,80742,1
241,29950,199990,1
242,4143,4144,1
243,2801,219988,1
244,4223,9681,1
245,7342,84708,1
246,23265,57159,1
247,11099,162968,1
248,2832,448834,1
249,23199,55758,1
250,55503,375791,1
251,3092,220136,1
252,5530,22941,1
253,10101,81851,1
254,55224,386682,1
255,8878,23710,1
256,4342,7159,1
257,4223,123591,1
258,1616,80321,1
259,8803,57085,1
260,10152,57176,1
261,23640,30008,1
262,26353,54870,1
263,11178,112869,1
264,4223,6945,1
265,7159,26121,1
266,9802,90637,1
267,1195,6434,1
268,1198,10929,1
269,26031,197407,1
270,9463,399693,1
271,4188,5252,1
272,27111,441520,1
273,26121,130540,1
274,118,54955,1
275,3222,5087,1
276,353323,389834,1
277,331,654483,1
278,4188,10464,1
279,1522,11077,1
280,10152,29978,1
281,3868,154796,1
282,353133,440021,1
283,10268,375791,1
284,2885,54754,1
285,88,55216,1
286,9502,64395,1
287,9463,27124,1
288,29922,148137,1
289,23582,84708,1
290,10513,79148,1
291,5090,342574,1
292,7565,9463,1
293,60314,116173,1
294,4222,64098,1
295,10464,11178,1
296,896,1026,1
297,57326,64395,1
298,2017,340527,1
299,386677,388677,1
300,64395,283150,1
301,10894,375791,1
302,85289,353131,1
303,6428,26505,1
304,3198,353132,1
305,8907,23099,1
306,9463,152815,1
307,11281,50674,1
308,26240,64753,1
309,8313,80705,1
310,57532,83901,1
311,5987,84951,1
312,1039,127703,1
313,4188,4601,1
314,30011,448834,1
315,7919,7919,1
316,3846,84330,1
317,9618,22822,1
318,9841,64753,1
319,6898,6898,1
320,8241,22893,1
321,3881,9119,1
322,55093,253980,1
323,54763,55138,1
324,9516,10318,1
325,9354,9807,1
326,29763,353323,1
327,8887,9802,1
328,463,80258,1
329,83878,84707,1
330,6804,112616,1
331,29922,93426,1
332,9963,81850,1
333,4110,57610,1
334,80153,80258,1
335,23149,56915,1
336,9119,10615,1
337,57085,79922,1
338,11060,55048,1
339,8601,57532,1
340,10933,114932,1
341,10464,25959,1
342,6895,8575,1
343,8687,140807,1
344,9463,220929,1
345,4223,11091,1
346,166,23641,1
347,4601,386681,1
348,58524,386681,1
349,79869,84708,1
350,9404,257160,1
351,9025,23567,1
352,84708,85291,1
353,79943,386675,1
354,23281,57474,1
355,3881,10286,1
356,10464,64395,1
357,91544,154313,1
358,8772,8772,1
359,6698,148979,1
360,51776,58491,1
361,55697,166793,1
362,1822,85359,1
363,11178,84080,1
364,11077,64844,1
365,5696,9319,1
366,53347,440295,1
367,63874,116173,1
368,9119,339005,1
369,5566,5577,1
370,9456,10006,1
