Protein1_ID,Protein2_ID,label
27,9322,1
27,10152,1
30,7919,1
60,60,1
60,1073,1
60,11034,1
71,1072,1
71,10486,1
71,11140,1
81,84708,1
87,89,1
87,1965,1
87,9099,1
87,9852,1
87,51778,1
87,55017,1
87,79778,1
87,79933,1
88,3351,1
88,6615,1
88,11102,1
88,55216,1
88,79778,1
88,79933,1
88,285093,1
88,399693,1
88,440836,1
89,5096,1
89,5318,1
89,5753,1
89,6615,1
89,7185,1
89,8022,1
89,9146,1
89,11281,1
89,55138,1
89,79778,1
89,84708,1
89,151254,1
89,170954,1
89,246100,1
89,285093,1
95,95,1
95,4521,1
104,6895,1
104,8575,1
104,23567,1
104,55922,1
104,79698,1
104,391257,1
152,4188,1
161,79719,1
162,4292,1
162,7307,1
162,9883,1
162,10667,1
162,26119,1
162,60314,1
162,79025,1
162,170680,1
162,343930,1
163,1281,1
163,4292,1
163,7918,1
163,9883,1
163,25959,1
163,53371,1
163,56158,1
163,91694,1
163,129807,1
163,399693,1
164,8905,1
164,84993,1
166,1656,1
166,2801,1
166,2997,1
166,3198,1
166,3215,1
166,3224,1
166,3885,1
166,4089,1
166,4236,1
166,4656,1
166,4665,1
166,5307,1
166,5892,1
166,6495,1
166,6626,1
166,6631,1
166,6934,1
166,7185,1
166,7545,1
166,7681,1
166,7704,1
166,7716,1
166,8022,1
166,8456,1
166,9146,1
166,9533,1
166,10152,1
166,10262,1
166,10933,1
166,22893,1
166,22924,1
166,23281,1
166,25959,1
166,26121,1
166,27124,1
166,30008,1
166,54764,1
166,55110,1
166,55138,1
166,55337,1
166,55668,1
166,58524,1
166,79190,1
166,79444,1
166,79869,1
166,80256,1
166,80742,1
166,80764,1
166,84330,1
166,84766,1
166,84970,1
166,90060,1
166,114327,1
166,125115,1
166,146325,1
166,158787,1
166,159195,1
166,220359,1
166,353323,1
166,386681,1
166,388677,1
189,3885,1
189,4188,1
189,9457,1
189,81851,1
189,83899,1
190,2104,1
191,79078,1
208,5966,1
208,9463,1
208,10174,1
208,57630,1
211,5493,1
211,7728,1
211,9724,1
211,10486,1
211,84460,1
211,142679,1
211,150483,1
211,165918,1
211,201255,1
211,389207,1
211,100287171,1
218,55663,1
221,81850,1
221,386683,1
230,23294,1
240,4223,1
240,283459,1
247,246100,1
250,3846,1
250,4223,1
250,50628,1
250,54544,1
250,81850,1
250,81851,1
250,353135,1
250,353140,1
250,386681,1
250,386682,1
262,262,1
270,271,1
271,271,1
273,339231,1
275,55697,1
279,5626,1
288,4665,1
321,158809,1
327,9798,1
329,640,1
329,5985,1
329,9747,1
329,23028,1
329,56915,1
329,79571,1
329,654483,1
331,842,1
331,1163,1
331,5859,1
331,10465,1
331,51027,1
331,64927,1
331,84708,1
331,654483,1
335,116173,1
336,117144,1
337,57085,1
347,56947,1
